07/08/2024 11:20:49 | Site: https://www.google.com.br | Status Online: true
07/08/2024 11:20:49 | Site: https://www.alura.com.br | Status Online: true
07/08/2024 11:20:50 | Site: https://www.casadocodigo.com.br | Status Online: true
07/08/2024 11:20:51 | Site: https://httpbin.org/status/200 | Status Online: true
07/08/2024 11:20:55 | Site: https://httpbin.org/status/400 | Status Online: false
07/08/2024 11:21:02 | Site: https://httpbin.org/status/500 | Status Online: false
07/08/2024 11:21:04 | Site: https://www.google.com.br | Status Online: true
07/08/2024 11:21:04 | Site: https://www.alura.com.br | Status Online: true
07/08/2024 11:21:04 | Site: https://www.casadocodigo.com.br | Status Online: true
07/08/2024 11:21:06 | Site: https://httpbin.org/status/200 | Status Online: true
07/08/2024 11:21:07 | Site: https://httpbin.org/status/400 | Status Online: false
07/08/2024 11:21:14 | Site: https://httpbin.org/status/500 | Status Online: false
07/08/2024 11:21:16 | Site: https://www.google.com.br | Status Online: true
07/08/2024 11:21:16 | Site: https://www.alura.com.br | Status Online: true
07/08/2024 11:21:16 | Site: https://www.casadocodigo.com.br | Status Online: true
07/08/2024 11:21:21 | Site: https://httpbin.org/status/200 | Status Online: true
07/08/2024 11:21:23 | Site: https://httpbin.org/status/400 | Status Online: false
07/08/2024 11:21:27 | Site: https://httpbin.org/status/500 | Status Online: false
07/08/2024 11:40:54 | Site: https://www.google.com.br | Status Online: true
07/08/2024 11:40:54 | Site: https://www.alura.com.br | Status Online: true
07/08/2024 11:40:55 | Site: https://www.casadocodigo.com.br | Status Online: true
07/08/2024 11:40:56 | Site: https://httpbin.org/status/200 | Status Online: true
07/08/2024 11:41:02 | Site: https://httpbin.org/status/400 | Status Online: false
07/08/2024 11:41:05 | Site: https://httpbin.org/status/500 | Status Online: false
07/08/2024 11:41:07 | Site: https://www.google.com.br | Status Online: true
07/08/2024 11:41:07 | Site: https://www.alura.com.br | Status Online: true
07/08/2024 11:41:08 | Site: https://www.casadocodigo.com.br | Status Online: true
07/08/2024 11:41:14 | Site: https://httpbin.org/status/200 | Status Online: true
07/08/2024 11:41:24 | Site: https://httpbin.org/status/400 | Status Online: false
07/08/2024 11:41:28 | Site: https://httpbin.org/status/500 | Status Online: false
07/08/2024 11:41:30 | Site: https://www.google.com.br | Status Online: true
07/08/2024 11:41:30 | Site: https://www.alura.com.br | Status Online: true
07/08/2024 11:41:30 | Site: https://www.casadocodigo.com.br | Status Online: true
07/08/2024 11:41:32 | Site: https://httpbin.org/status/200 | Status Online: true
07/08/2024 11:41:37 | Site: https://httpbin.org/status/400 | Status Online: false
07/08/2024 11:41:37 | Site: https://httpbin.org/status/500 | Status Online: false
